Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
62,DCT (Legacy),FHD,0.244,1.06746,40.0129,13.5275,0.0659988
62,DCT (Legacy),FHD,0.245,1.07046,41.2122,13.5157,0.0657786
62,DCT (Legacy),FHD,0.246,1.06906,42.6813,13.5041,0.0655597
62,DCT (Legacy),FHD,0.247,1.06851,41.2096,13.4927,0.0653392
63,DCT (Legacy),FHD,0.248,1.06755,41.5196,13.4814,0.0651216
63,DCT (Legacy),FHD,0.249,1.06835,41.2491,13.4702,0.0649066
63,DCT (Legacy),FHD,0.25,1.06909,41.7226,13.4588,0.0646946
63,DCT (Legacy),FHD,0.251,1.06858,41.4763,13.4478,0.0644836
64,DCT (Legacy),FHD,0.252,1.06906,42.9303,13.4367,0.0642753
64,DCT (Legacy),FHD,0.253,1.06906,42.9779,13.4257,0.0640668
64,DCT (Legacy),FHD,0.254,1.07018,42.0332,13.4149,0.0638643
64,DCT (Legacy),FHD,0.255,2.4896,42.8394,13.4042,0.0636632
65,DCT (Legacy),FHD,0.256,1.06701,41.1379,13.3933,0.0634643
65,DCT (Legacy),FHD,0.257,1.09338,41.9463,13.3828,0.06327
65,DCT (Legacy),FHD,0.258,1.06688,43.2433,13.3723,0.0630785
65,DCT (Legacy),FHD,0.259,1.06496,42.2187,13.3619,0.062888
66,DCT (Legacy),FHD,0.26,1.06877,41.4092,13.3515,0.0626958
66,DCT (Legacy),FHD,0.261,1.0671,41.526,13.341,0.0625064
66,DCT (Legacy),FHD,0.262,1.06848,40.473,13.3309,0.0623211
66,DCT (Legacy),FHD,0.263,1.06832,42.8027,13.3207,0.0621317
67,DCT (Legacy),FHD,0.264,1.06662,45.9129,13.3106,0.0619462
67,DCT (Legacy),FHD,0.265,1.06976,42.9493,13.3005,0.0617622
67,DCT (Legacy),FHD,0.266,1.0752,43.6976,13.2906,0.0615784
67,DCT (Legacy),FHD,0.267,1.06752,41.5558,13.2808,0.0613989
68,DCT (Legacy),FHD,0.268,1.06701,40.9588,13.2709,0.061221
68,DCT (Legacy),FHD,0.269,1.0671,42.5188,13.2611,0.0610444
68,DCT (Legacy),FHD,0.27,1.06896,41.4637,13.2515,0.0608687
68,DCT (Legacy),FHD,0.271,1.06906,42.0376,13.2419,0.0606999
69,DCT (Legacy),FHD,0.272,1.06688,41.2071,13.2323,0.0605282
69,DCT (Legacy),FHD,0.273,1.08339,41.6755,13.2228,0.060359
69,DCT (Legacy),FHD,0.274,1.06848,41.8113,13.2134,0.0601944
69,DCT (Legacy),FHD,0.275,1.64998,44.0621,13.2041,0.0600294
70,DCT (Legacy),FHD,0.276,1.08976,45.3882,13.1948,0.0598652
70,DCT (Legacy),FHD,0.277,1.068,41.6564,13.1856,0.0597047
70,DCT (Legacy),FHD,0.278,1.06701,43.7085,13.1765,0.0595466
70,DCT (Legacy),FHD,0.279,1.09178,42.2087,13.1673,0.059389
71,DCT (Legacy),FHD,0.28,1.07088,41.4641,13.1583,0.0592305
71,DCT (Legacy),FHD,0.281,1.08819,41.3427,13.1495,0.059073
71,DCT (Legacy),FHD,0.282,1.06717,42.0477,13.1405,0.058917
