Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
65,DCT (Legacy),FHD,0.259,1.0631,184.193,13.3619,0.062888
66,DCT (Legacy),FHD,0.26,1.06291,164.389,13.3515,0.0626958
66,DCT (Legacy),FHD,0.261,1.05814,166.716,13.341,0.0625064
66,DCT (Legacy),FHD,0.262,1.08134,166.362,13.3309,0.0623211
66,DCT (Legacy),FHD,0.263,1.05747,182.258,13.3207,0.0621317
67,DCT (Legacy),FHD,0.264,1.06438,167.993,13.3106,0.0619462
67,DCT (Legacy),FHD,0.265,1.05267,164.868,13.3005,0.0617622
67,DCT (Legacy),FHD,0.266,1.09568,165.799,13.2906,0.0615784
67,DCT (Legacy),FHD,0.267,1.0648,164.564,13.2808,0.0613989
68,DCT (Legacy),FHD,0.268,1.06269,173.447,13.2709,0.061221
68,DCT (Legacy),FHD,0.269,1.64301,163.714,13.2611,0.0610444
68,DCT (Legacy),FHD,0.27,1.0633,173.532,13.2515,0.0608687
68,DCT (Legacy),FHD,0.271,1.06445,167.222,13.2419,0.0606999
69,DCT (Legacy),FHD,0.272,1.06291,166.96,13.2323,0.0605282
69,DCT (Legacy),FHD,0.273,1.06397,163.354,13.2228,0.060359
69,DCT (Legacy),FHD,0.274,1.06291,168.502,13.2134,0.0601944
69,DCT (Legacy),FHD,0.275,2.12176,167.173,13.2041,0.0600294
70,DCT (Legacy),FHD,0.276,1.06349,164.536,13.1948,0.0598652
70,DCT (Legacy),FHD,0.277,2.45085,167.051,13.1856,0.0597047
70,DCT (Legacy),FHD,0.278,1.06362,167.627,13.1765,0.0595466
70,DCT (Legacy),FHD,0.279,1.06314,164.304,13.1673,0.059389
71,DCT (Legacy),FHD,0.28,1.05386,164.928,13.1583,0.0592305
71,DCT (Legacy),FHD,0.281,1.0793,162.68,13.1495,0.059073
71,DCT (Legacy),FHD,0.282,1.06906,172.556,13.1405,0.058917
71,DCT (Legacy),FHD,0.283,1.06458,164.906,13.1316,0.0587654
72,DCT (Legacy),FHD,0.284,1.06291,176.854,13.1228,0.0586132
72,DCT (Legacy),FHD,0.285,1.064,162.133,13.1142,0.0584605
72,DCT (Legacy),FHD,0.286,1.06362,173.027,13.1054,0.0583094
72,DCT (Legacy),FHD,0.287,1.65302,165.472,13.0968,0.0581637
73,DCT (Legacy),FHD,0.288,1.06291,163.002,13.0884,0.0580215
73,DCT (Legacy),FHD,0.289,1.06291,164.889,13.0799,0.0578766
73,DCT (Legacy),FHD,0.29,1.05648,163.705,13.0715,0.0577331
73,DCT (Legacy),FHD,0.291,1.06438,167.345,13.063,0.0575928
74,DCT (Legacy),FHD,0.292,1.06467,187.341,13.0547,0.057452
74,DCT (Legacy),FHD,0.293,1.07904,167.67,13.0465,0.0573103
74,DCT (Legacy),FHD,0.294,1.06403,163.835,13.0383,0.057175
74,DCT (Legacy),FHD,0.295,1.07802,162.084,13.0301,0.057036
75,DCT (Legacy),FHD,0.296,1.0552,180.709,13.0221,0.056898
75,DCT (Legacy),FHD,0.297,1.91027,169.264,13.0139,0.0567625
75,DCT (Legacy),FHD,0.298,2.12342,165.376,13.0059,0.0566268
75,DCT (Legacy),FHD,0.299,1.07242,168.313,12.998,0.0564935
76,DCT (Legacy),FHD,0.3,1.08998,163.221,12.9901,0.0563638
76,DCT (Legacy),FHD,0.301,1.08333,165.37,12.9823,0.0562335
76,DCT (Legacy),FHD,0.302,1.05594,165.317,12.9744,0.0561064
76,DCT (Legacy),FHD,0.303,1.05882,170.539,12.9668,0.055978
77,DCT (Legacy),FHD,0.304,1.05677,163.034,12.959,0.0558534
77,DCT (Legacy),FHD,0.305,1.06333,161.712,12.9514,0.0557265
77,DCT (Legacy),FHD,0.306,1.06477,167.191,12.9438,0.0556075
77,DCT (Legacy),FHD,0.307,1.06493,168.827,12.9363,0.0554868
78,DCT (Legacy),FHD,0.308,1.06291,165.583,12.9289,0.0553678
78,DCT (Legacy),FHD,0.309,1.05862,169.264,12.9214,0.0552469
78,DCT (Legacy),FHD,0.31,1.90272,188.245,12.9139,0.0551246
78,DCT (Legacy),FHD,0.311,1.06352,181.468,12.9067,0.0550022
79,DCT (Legacy),FHD,0.312,1.06496,165.047,12.8992,0.0548841
79,DCT (Legacy),FHD,0.313,1.06086,168.682,12.8919,0.0547674
79,DCT (Legacy),FHD,0.314,1.0585,166.097,12.8848,0.0546506
79,DCT (Legacy),FHD,0.314999,1.06118,171.146,12.8775,0.0545361
